+--------------------+-------------------+----------------+
|         player_name|       max_hit_rate|Comfortable Zone|
|        kyrie irving|0.46602972399150744|          Medium|
|  charlie villanueva|0.42323651452282157|          Medium|
|        damjan rudez| 0.4256410256410256|          Medium|
|         cory joseph| 0.5057803468208093|          Medium|
|         roy hibbert|0.44886363636363635|          Medium|
|      rodney stuckey| 0.4506517690875233|          Medium|
|      timofey mozgov|  0.544392523364486|          Medium|
| matthew dellavedova| 0.3476190476190476|             Low|
|        marcus smart| 0.3612040133779264|             Low|
|        tyler zeller| 0.5465393794749404|          Medium|
|          tim duncan| 0.4960127591706539|          Medium|
|       manu ginobili| 0.4247967479674797|          Medium|
|        eric bledsoe|0.45478036175710596|          Medium|
|      shabazz napier|0.38164251207729466|             Low|
|        jared dudley| 0.4818941504178273|          Medium|
|          beno urdih| 0.4887640449438202|          Medium|
|       udonis haslem|0.43283582089552236|          Medium|
|      jason thompson| 0.4589041095890411|          Medium|
|          quincy acy| 0.4723404255319149|          Medium|
|      brandon knight|  0.428743961352657|          Medium|
|  donatas motiejunas| 0.5086805555555556|          Medium|
|          chris bosh| 0.4604026845637584|          Medium|
|        goran dragic|   0.50199203187251|          Medium|
|         john henson| 0.5809128630705395|          Medium|
|        shane larkin| 0.4244604316546763|          Medium|
|     carmelo anthony|0.44065656565656564|          Medium|
|         travis wear|0.41975308641975306|          Medium|
|        jerami grant|0.38073394495412843|             Low|
|        kosta koufos| 0.5019762845849802|          Medium|
|        kj mcdaniels|0.39663461538461536|             Low|
|      pablo prigioni|0.40804597701149425|          Medium|
|          jj hickson| 0.4804804804804805|          Medium|
|        courtney lee| 0.4726890756302521|          Medium|
|       zaza pachulia|0.43142857142857144|          Medium|
|         jason terry|  0.415929203539823|          Medium|
|       jose calderon|0.41329479768786126|          Medium|
|    time hardaway jr|0.38823529411764707|             Low|
|     hollis thompson|0.40406976744186046|          Medium|
|    robert covington|  0.396078431372549|             Low|
|            alex len| 0.5284280936454849|          Medium|
|       marcus morris| 0.4506517690875233|          Medium|
|      chris andersen| 0.5808823529411765|          Medium|
|          tony allen|0.48044692737430167|          Medium|
|        vince carter| 0.3321554770318021|             Low|
|           luol deng|0.48324514991181655|          Medium|
|         greg monroe|0.49157303370786515|          Medium|
|      jerryd bayless| 0.4466501240694789|          Medium|
|        trevor ariza|0.37920937042459735|             Low|
|     markieff morris| 0.4674698795180723|          Medium|
|michael carter-wi...| 0.3850837138508371|             Low|
|      mario chalmers|0.40540540540540543|          Medium|
|       isaiah thomas| 0.4190938511326861|          Medium|
|        gerald green|0.40793650793650793|          Medium|
|    patrick beverley| 0.3815789473684211|             Low|
|         joey dorsey| 0.5268817204301075|          Medium|
|        james harden| 0.4497153700189753|          Medium|
|          marc gasol| 0.4975429975429975|          Medium|
|      jakarr sampson|0.44761904761904764|          Medium|
|giannis antetokou...| 0.4918032786885246|          Medium|
|          henry sims|0.48226950354609927|          Medium|
|           jon leuer|0.44357976653696496|          Medium|
|         norris cole| 0.3972602739726027|             Low|
|         dwayne wade|0.47083926031294454|          Medium|
|    brandon jennings| 0.4014732965009208|          Medium|
|    luc mbah a moute| 0.4093686354378819|          Medium|
|         james ennis| 0.3836477987421384|             Low|
| kostas papanikolaou|0.34759358288770054|             Low|
|kentavious caldwe...|0.39824304538799415|             Low|
|         jason smith| 0.4513888888888889|          Medium|
|      andre drummond| 0.5082706766917293|          Medium|
|     shawne williams|0.42857142857142855|          Medium|
|         dj augustin| 0.4068441064638783|          Medium|
|       jonas jerebko|0.46551724137931033|          Medium|
|        kyle singler|0.39425587467362927|             Low|
|       zach randolph|  0.488822652757079|          Medium|
|        cole aldrich| 0.4816753926701571|          Medium|
|     khris middleton|0.47153024911032027|          Medium|
|    amare stoudemire| 0.5505952380952381|          Medium|
|             oj mayo| 0.4133099824868651|          Medium|
|        caron butler|0.38620689655172413|             Low|
|         mike conley| 0.4470426409903714|          Medium|
|         nerles noel| 0.4436936936936937|          Medium|
|           pj tucker| 0.4534313725490196|          Medium|
|       dwight howard| 0.5748502994011976|          Medium|
|       mason plumlee| 0.5856079404466501|          Medium|
|      ramon sessions| 0.3287671232876712|             Low|
|         matt barnes|0.44988864142538976|          Medium|
|      damian lillard|0.43204868154158216|          Medium|
|          taj gibson|0.49282296650717705|          Medium|
|            rudy gay| 0.4459613196814562|          Medium|
|    demarcus cousins|0.46446700507614214|          Medium|
|         carl landry| 0.5087108013937283|          Medium|
|        ben mclemore| 0.4381443298969072|          Medium|
|      nikola mirotic|0.40166204986149584|          Medium|
|         zach lavine|0.42318059299191374|          Medium|
|     wesley matthews|0.44919786096256686|          Medium|
|       kevin garnett|0.46511627906976744|          Medium|
|         jeremy lamb|0.41964285714285715|          Medium|
|         chris kaman|0.49078341013824883|          Medium|
|         alan crabbe|  0.425531914893617|          Medium|
|      andrew wiggins| 0.4366373902132999|          Medium|
|        nik stauskas| 0.3385416666666667|             Low|
|          chris paul|  0.480225988700565|          Medium|
|       nicolas batum| 0.3888888888888889|             Low|
|        kirk hinrich|0.35987261146496813|             Low|
|      deandre jordan|  0.712468193384224|            High|
|    bojan bogdanovic|0.41944444444444445|          Medium|
|         omri casspi| 0.4791666666666667|          Medium|
|           pau gasol|0.49511002444987773|          Medium|
|        jimmy butler| 0.4622279129321383|          Medium|
|       blake griffin| 0.5005599104143337|          Medium|
|        jarrett jack|0.44607843137254904|          Medium|
|       hedo turkoglu| 0.4411764705882353|          Medium|
|    derrick williams|0.44755244755244755|          Medium|
|    shabazz muhammad| 0.4884910485933504|          Medium|
|       robbie hummel| 0.4789915966386555|          Medium|
|       alan anderson| 0.4332344213649852|          Medium|
|     mirza teletovic| 0.3836477987421384|             Low|
|         serge ibaka| 0.4707482993197279|          Medium|
|        ray mccallum|0.43333333333333335|          Medium|
|         brook lopez|0.48811410459587956|          Medium|
|    kendrick perkins| 0.4381443298969072|          Medium|
|       nick collison| 0.4056603773584906|          Medium|
|        derrick rose| 0.4069767441860465|          Medium|
|   russell westbrook|0.43550051599587203|          Medium|
|      anthony morrow| 0.4430992736077482|          Medium|
|          tony snell| 0.4585152838427948|          Medium|
|         steve adams| 0.5474452554744526|          Medium|
|         mo williams|0.41681574239713776|          Medium|
|          glen davis|  0.480225988700565|          Medium|
|      jamal crawford|0.40099626400996263|          Medium|
|      chase budinger|0.37185929648241206|             Low|
|         cj mccollum|0.39080459770114945|             Low|
|           jj redick|0.46070878274268107|          Medium|
|       jordan farmar| 0.3860759493670886|             Low|
|      reggie jackson| 0.4203338391502276|          Medium|
|      andre roberson| 0.4583333333333333|          Medium|
|         joe johnson| 0.4367666232073012|          Medium|
|     darren collison| 0.4727272727272727|          Medium|
|         joakim noah|0.43823529411764706|          Medium|
|         steve blake| 0.3765182186234818|             Low|
|        gorgui dieng|0.49385749385749383|          Medium|
|       jerome jordan| 0.5454545454545454|          Medium|
|       spencer hawes| 0.4126506024096386|          Medium|
|        aaron brooks|0.41532976827094475|          Medium|
|   lamarcus aldridge| 0.4504761904761905|          Medium|
|     anthony bennett|0.41605839416058393|          Medium|
|      deron williams|0.39029126213592236|             Low|
|      thaddeus young| 0.4668587896253602|          Medium|
+--------------------+-------------------+----------------+

